SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:FrontGate:Gate Shack:Complete:RpiZero4:637000184395145697:637000184395195049:rpiZero4:/Surveillance\FrontGate-Gate Shack-rpiZero4-20190729173341.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000185046217004:637000185206574011:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173504.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000185135772181:637000185212119543:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729173513.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000185132208373:637000185212315522:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729173513.mp4
Motion:FrontGate:Gate Shack:Complete:RpiZero4:637000185324292736:637000185394415096:rpiZero4:/Surveillance\FrontGate-Gate Shack-rpiZero4-20190729173532.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000185595174821:637000185655853270:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729173559.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000185526583759:637000185656879423:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173552.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000185582504523:637000185662576111:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729173558.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000185645913384:637000185725706622:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729173604.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000185865548893:637000185937408532:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729173626.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000185866815472:637000185947142759:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173626.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000185872717475:637000185963206889:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729173627.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000185915818961:637000185995968077:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729173631.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000185956962250:637000186037008444:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173635.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186057018391:637000186107077166:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173645.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186127067352:637000186177156974:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173652.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186197145325:637000186267249242:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173659.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186287244910:637000186337318384:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173708.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000186426211407:637000186516286145:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729173722.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000186603347061:637000186683691729:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729173740.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000186616966400:637000186686804738:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729173741.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186587488017:637000186727629835:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173738.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000186946810807:637000187006755215:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729173814.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000186847700901:637000187037973334:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729173804.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000187136678725:637000187216027311:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729173833.mp4
